                       trigger     Log(Pbol[0.001,20000]Kev)     Log(Sbol[0.001,20000]Kev)                      Log(Epk)                  Log(EPR1024)                      Log(EFR)                  Log(FPR1024)                      Log(T90)
                          6151                 -0.638410E+01                 -0.530420E+01                  0.267600E+01                  0.906010E+01                  0.798020E+01                  0.107990E+01                  0.107335E+01
                          6227                 -0.686777E+01                 -0.648807E+01                  0.208300E+01                  0.895077E+01                  0.857107E+01                  0.379700E+00                  0.760420E+00
                           237                 -0.643200E+01                 -0.590100E+01                  0.237600E+01                  0.880800E+01                  0.827700E+01                  0.531000E+00                  0.160756E+01
                          6695                 -0.667330E+01                 -0.574770E+01                  0.244800E+01                  0.912130E+01                  0.819570E+01                  0.925600E+00                  0.155364E+01
                          6189                 -0.603670E+01                 -0.514712E+01                  0.273600E+01                  0.877270E+01                  0.788312E+01                  0.889580E+00                  0.913390E+00
                          1213                 -0.681835E+01                 -0.584725E+01                  0.239500E+01                  0.921335E+01                  0.824225E+01                  0.971100E+00                  0.130578E+01
                          7381                 -0.681336E+01                 -0.601156E+01                  0.231000E+01                  0.912336E+01                  0.832156E+01                  0.801800E+00                  0.985160E+00
                           549                 -0.678410E+01                 -0.572720E+01                  0.244800E+01                  0.923210E+01                  0.817520E+01                  0.105690E+01                  0.115836E+01
                          1303                 -0.613299E+01                 -0.464299E+01                  0.295900E+01                  0.909199E+01                  0.760199E+01                  0.149000E+01                  0.132736E+01
                          6616                 -0.670682E+01                 -0.585522E+01                  0.237800E+01                  0.908482E+01                  0.823322E+01                  0.851600E+00                  0.154020E+01
                          5379                 -0.605654E+01                 -0.515816E+01                  0.271400E+01                  0.877054E+01                  0.787216E+01                  0.898380E+00                  0.105423E+01
                          5571                 -0.609696E+01                 -0.589356E+01                  0.235400E+01                  0.845096E+01                  0.824756E+01                  0.203400E+00                  0.906550E+00
                          2344                 -0.649112E+01                 -0.490332E+01                  0.282600E+01                  0.931712E+01                  0.772932E+01                  0.158780E+01                  0.149859E+01
                          3136                 -0.679397E+01                 -0.622433E+01                  0.218600E+01                  0.897997E+01                  0.841033E+01                  0.569640E+00                  0.129115E+01
                          6708                 -0.591863E+01                 -0.548903E+01                  0.254700E+01                  0.846563E+01                  0.803603E+01                  0.429600E+00                  0.108493E+01
                          2775                 -0.655363E+01                 -0.523113E+01                  0.266900E+01                  0.922263E+01                  0.790013E+01                  0.132250E+01                  0.150037E+01
                          6141                 -0.614388E+01                 -0.547222E+01                  0.255300E+01                  0.869688E+01                  0.802522E+01                  0.671660E+00                  0.179699E+01
                          5983                 -0.624775E+01                 -0.532775E+01                  0.262200E+01                  0.886975E+01                  0.794975E+01                  0.920000E+00                  0.112418E+01
                          5538                 -0.641350E+01                 -0.525640E+01                  0.265100E+01                  0.906450E+01                  0.790740E+01                  0.115710E+01                  0.137199E+01
                          7568                 -0.645632E+01                 -0.550092E+01                  0.253200E+01                  0.898832E+01                  0.803292E+01                  0.955400E+00                  0.126858E+01
                          3405                 -0.583566E+01                 -0.454999E+01                  0.297700E+01                  0.881266E+01                  0.752699E+01                  0.128567E+01                  0.182860E+01
                          3088                 -0.656544E+01                 -0.577224E+01                  0.239700E+01                  0.896244E+01                  0.816924E+01                  0.793200E+00                  0.714660E+00
                          2391                 -0.662732E+01                 -0.523362E+01                  0.265800E+01                  0.928532E+01                  0.789162E+01                  0.139370E+01                  0.114364E+01
                          6987                 -0.658342E+01                 -0.555162E+01                  0.249400E+01                  0.907742E+01                  0.804562E+01                  0.103180E+01                  0.152218E+01
                          8110                 -0.595661E+01                 -0.499690E+01                  0.275900E+01                  0.871561E+01                  0.775590E+01                  0.959710E+00                  0.101284E+01
                          3339                 -0.644890E+01                 -0.495910E+01                  0.277500E+01                  0.922390E+01                  0.773410E+01                  0.148980E+01                  0.171332E+01
                          2306                 -0.615191E+01                 -0.532478E+01                  0.260100E+01                  0.875291E+01                  0.792578E+01                  0.827130E+00                  0.132469E+01
                          2069                 -0.676596E+01                 -0.627445E+01                  0.213300E+01                  0.889896E+01                  0.840745E+01                  0.491510E+00                  0.168467E+01
                           946                 -0.672226E+01                 -0.564086E+01                  0.244000E+01                  0.916226E+01                  0.808086E+01                  0.108140E+01                  0.168583E+01
                          2843                 -0.611039E+01                 -0.527787E+01                  0.261400E+01                  0.872439E+01                  0.789187E+01                  0.832520E+00                  0.104689E+01
                          6334                 -0.681805E+01                 -0.593335E+01                  0.229300E+01                  0.911105E+01                  0.822635E+01                  0.884700E+00                  0.156585E+01
                          1298                 -0.696065E+01                 -0.680635E+01                  0.184400E+01                  0.880465E+01                  0.865035E+01                  0.154300E+00                  0.591510E+00
                          6375                 -0.637534E+01                 -0.561204E+01                  0.244700E+01                  0.882234E+01                  0.805904E+01                  0.763300E+00                  0.149276E+01
                          3324                 -0.674837E+01                 -0.616027E+01                  0.217500E+01                  0.892337E+01                  0.833527E+01                  0.588100E+00                  0.157772E+01
                          6127                 -0.653939E+01                 -0.491949E+01                  0.277600E+01                  0.931539E+01                  0.769549E+01                  0.161990E+01                  0.184559E+01
