                       trigger     Log(Pbol[0.001,20000]Kev)     Log(Sbol[0.001,20000]Kev)                      Log(Epk)                  Log(EPR1024)                      Log(EFR)                  Log(FPR1024)                      Log(T90)
                          2191                 -0.629076E+01                 -0.519276E+01                  0.252700E+01                  0.881776E+01                  0.771976E+01                  0.109800E+01                  0.140278E+01
                          7780                 -0.667931E+01                 -0.574351E+01                  0.225400E+01                  0.893331E+01                  0.799751E+01                  0.935800E+00                  0.206446E+01
                          7987                 -0.538472E+01                 -0.489652E+01                  0.266500E+01                  0.804972E+01                  0.756152E+01                  0.488200E+00                  0.920120E+00
                          6298                 -0.682582E+01                 -0.598682E+01                  0.212700E+01                  0.895282E+01                  0.811382E+01                  0.839000E+00                  0.999300E+00
                          1126                 -0.639587E+01                 -0.551537E+01                  0.236200E+01                  0.875787E+01                  0.787737E+01                  0.880500E+00                  0.130728E+01
                          5635                 -0.650761E+01                 -0.554821E+01                  0.234400E+01                  0.885161E+01                  0.789221E+01                  0.959400E+00                  0.149554E+01
                          6602                 -0.613952E+01                 -0.485320E+01                  0.267600E+01                  0.881552E+01                  0.752920E+01                  0.128632E+01                  0.159857E+01
                          2087                 -0.597924E+01                 -0.536164E+01                  0.243000E+01                  0.840924E+01                  0.779164E+01                  0.617600E+00                  0.100475E+01
                          2254                 -0.612995E+01                 -0.573735E+01                  0.224400E+01                  0.837395E+01                  0.798135E+01                  0.392600E+00                  0.735600E+00
                           686                 -0.633274E+01                 -0.551009E+01                  0.235500E+01                  0.868774E+01                  0.786509E+01                  0.822650E+00                  0.104689E+01
                          2719                 -0.657051E+01                 -0.605841E+01                  0.207900E+01                  0.864951E+01                  0.813741E+01                  0.512100E+00                  0.154258E+01
                          7936                 -0.654676E+01                 -0.593316E+01                  0.214200E+01                  0.868876E+01                  0.807516E+01                  0.613600E+00                  0.159572E+01
                           526                 -0.689045E+01                 -0.607815E+01                  0.206700E+01                  0.895745E+01                  0.814515E+01                  0.812300E+00                  0.819020E+00
                          1558                 -0.678048E+01                 -0.572658E+01                  0.224200E+01                  0.902248E+01                  0.796858E+01                  0.105390E+01                  0.144059E+01
                          7752                 -0.590024E+01                 -0.530694E+01                  0.244700E+01                  0.834724E+01                  0.775394E+01                  0.593300E+00                  0.936510E+00
                          3322                 -0.647130E+01                 -0.580640E+01                  0.219900E+01                  0.867030E+01                  0.800540E+01                  0.664900E+00                  0.142684E+01
                          6613                 -0.671584E+01                 -0.608904E+01                  0.205500E+01                  0.877084E+01                  0.814404E+01                  0.626800E+00                  0.162706E+01
                          6880                 -0.631241E+01                 -0.583529E+01                  0.218400E+01                  0.849641E+01                  0.801929E+01                  0.477120E+00                  0.102898E+01
                          2311                 -0.646162E+01                 -0.538362E+01                  0.240700E+01                  0.886862E+01                  0.779062E+01                  0.107800E+01                  0.142160E+01
                          2916                 -0.647055E+01                 -0.537195E+01                  0.241100E+01                  0.888155E+01                  0.778295E+01                  0.109860E+01                  0.100604E+01
                          5477                 -0.449318E+01                 -0.369718E+01                  0.318600E+01                  0.767918E+01                  0.688318E+01                  0.796000E+00                  0.123274E+01
                          2857                 -0.659254E+01                 -0.576344E+01                  0.221300E+01                  0.880554E+01                  0.797644E+01                  0.829100E+00                  0.138987E+01
                          2267                 -0.624240E+01                 -0.525299E+01                  0.246300E+01                  0.870540E+01                  0.771599E+01                  0.989410E+00                  0.114860E+01
                          7579                 -0.627069E+01                 -0.559241E+01                  0.229500E+01                  0.856569E+01                  0.788741E+01                  0.678280E+00                  0.119893E+01
                          5718                 -0.687800E+01                 -0.590140E+01                  0.214000E+01                  0.901800E+01                  0.804140E+01                  0.976600E+00                  0.942900E+00
                          6774                 -0.635756E+01                 -0.593835E+01                  0.212100E+01                  0.847856E+01                  0.805935E+01                  0.419210E+00                  0.814780E+00
                          2944                 -0.610846E+01                 -0.538926E+01                  0.239400E+01                  0.850246E+01                  0.778326E+01                  0.719200E+00                  0.714660E+00
                          7357                 -0.630979E+01                 -0.514569E+01                  0.251400E+01                  0.882379E+01                  0.765969E+01                  0.116410E+01                  0.172156E+01
                          6917                 -0.605605E+01                 -0.570265E+01                  0.223800E+01                  0.829405E+01                  0.794065E+01                  0.353400E+00                  0.645030E+00
                          6600                 -0.619427E+01                 -0.583227E+01                  0.217000E+01                  0.836427E+01                  0.800227E+01                  0.362000E+00                  0.843610E+00
                          4569                 -0.607769E+01                 -0.541849E+01                  0.237500E+01                  0.845269E+01                  0.779349E+01                  0.659200E+00                  0.783900E+00
                          7587                 -0.683274E+01                 -0.584504E+01                  0.216300E+01                  0.899574E+01                  0.800804E+01                  0.987700E+00                  0.127738E+01
                          7206                 -0.633542E+01                 -0.554317E+01                  0.231300E+01                  0.864842E+01                  0.785617E+01                  0.792250E+00                  0.131260E+01
                           752                 -0.640114E+01                 -0.600120E+01                  0.208000E+01                  0.848114E+01                  0.808120E+01                  0.399940E+00                  0.735600E+00
                          2204                 -0.660683E+01                 -0.585993E+01                  0.214900E+01                  0.875583E+01                  0.800893E+01                  0.746900E+00                  0.136248E+01
                          2385                 -0.669767E+01                 -0.580787E+01                  0.217400E+01                  0.887167E+01                  0.798187E+01                  0.889800E+00                  0.125188E+01
                          7518                 -0.574482E+01                 -0.501912E+01                  0.256200E+01                  0.830682E+01                  0.758112E+01                  0.725700E+00                  0.110517E+01
                          6269                 -0.664989E+01                 -0.585719E+01                  0.214700E+01                  0.879689E+01                  0.800419E+01                  0.792700E+00                  0.136135E+01
                          8054                 -0.659662E+01                 -0.566542E+01                  0.224300E+01                  0.883962E+01                  0.790842E+01                  0.931200E+00                  0.132736E+01
                          6323                 -0.629233E+01                 -0.556163E+01                  0.229400E+01                  0.858633E+01                  0.785563E+01                  0.730700E+00                  0.130856E+01
                          6400                 -0.585124E+01                 -0.529114E+01                  0.242700E+01                  0.827824E+01                  0.771814E+01                  0.560100E+00                  0.114860E+01
                          6589                 -0.667116E+01                 -0.609026E+01                  0.202000E+01                  0.869116E+01                  0.811026E+01                  0.580900E+00                  0.169152E+01
                          7335                 -0.607832E+01                 -0.495853E+01                  0.258200E+01                  0.866032E+01                  0.754053E+01                  0.111979E+01                  0.163739E+01
                          3655                 -0.642626E+01                 -0.545796E+01                  0.233800E+01                  0.876426E+01                  0.779596E+01                  0.968300E+00                  0.128825E+01
                          7802                 -0.693299E+01                 -0.581269E+01                  0.215800E+01                  0.909099E+01                  0.797069E+01                  0.112030E+01                  0.209587E+01
                          7358                 -0.642428E+01                 -0.545928E+01                  0.233400E+01                  0.875828E+01                  0.779328E+01                  0.965000E+00                  0.156205E+01
                          1580                 -0.614787E+01                 -0.517864E+01                  0.246700E+01                  0.861487E+01                  0.764564E+01                  0.969230E+00                  0.158939E+01
                          7485                 -0.660401E+01                 -0.602141E+01                  0.204400E+01                  0.864801E+01                  0.806541E+01                  0.582600E+00                  0.144264E+01
                          5434                 -0.633930E+01                 -0.535950E+01                  0.237600E+01                  0.871530E+01                  0.773550E+01                  0.979800E+00                  0.154456E+01
                          7677                 -0.644054E+01                 -0.521414E+01                  0.244700E+01                  0.888754E+01                  0.766114E+01                  0.122640E+01                  0.177371E+01
                          6241                 -0.614351E+01                 -0.562071E+01                  0.224600E+01                  0.838951E+01                  0.786671E+01                  0.522800E+00                  0.942900E+00
                          6529                 -0.671650E+01                 -0.590780E+01                  0.210000E+01                  0.881650E+01                  0.800780E+01                  0.808700E+00                  0.157031E+01
                          2375                 -0.621722E+01                 -0.506569E+01                  0.251600E+01                  0.873322E+01                  0.758169E+01                  0.115153E+01                  0.183149E+01
                          3924                 -0.636363E+01                 -0.558541E+01                  0.225900E+01                  0.862263E+01                  0.784441E+01                  0.778220E+00                  0.101953E+01
                          6305                 -0.671043E+01                 -0.597073E+01                  0.206300E+01                  0.877343E+01                  0.803373E+01                  0.739700E+00                  0.141145E+01
                          5719                 -0.607694E+01                 -0.560654E+01                  0.224700E+01                  0.832394E+01                  0.785354E+01                  0.470400E+00                  0.990870E+00
                           803                 -0.625801E+01                 -0.562551E+01                  0.223700E+01                  0.849501E+01                  0.786251E+01                  0.632500E+00                  0.859260E+00
                          3886                 -0.610661E+01                 -0.557761E+01                  0.225900E+01                  0.836561E+01                  0.783661E+01                  0.529000E+00                  0.109621E+01
                           467                 -0.552954E+01                 -0.502664E+01                  0.253000E+01                  0.805954E+01                  0.755664E+01                  0.502900E+00                  0.157634E+01
                          2640                 -0.628418E+01                 -0.531357E+01                  0.238600E+01                  0.867018E+01                  0.769957E+01                  0.970610E+00                  0.141464E+01
                          3011                 -0.606527E+01                 -0.484672E+01                  0.261300E+01                  0.867827E+01                  0.745972E+01                  0.121855E+01                  0.169601E+01
                          1306                 -0.667607E+01                 -0.597027E+01                  0.205700E+01                  0.873307E+01                  0.802727E+01                  0.705800E+00                  0.863080E+00
                          6267                 -0.644574E+01                 -0.583594E+01                  0.212300E+01                  0.856874E+01                  0.795894E+01                  0.609800E+00                  0.110924E+01
                          5725                 -0.562010E+01                 -0.456500E+01                  0.274400E+01                  0.836410E+01                  0.730900E+01                  0.105510E+01                  0.160895E+01
                          6658                 -0.630333E+01                 -0.607265E+01                  0.199900E+01                  0.830233E+01                  0.807165E+01                  0.230680E+00                  0.906550E+00
                          1452                 -0.647735E+01                 -0.577685E+01                  0.215000E+01                  0.862735E+01                  0.792685E+01                  0.700500E+00                  0.108493E+01
                          7488                 -0.580124E+01                 -0.485264E+01                  0.260400E+01                  0.840524E+01                  0.745664E+01                  0.948600E+00                  0.175800E+01
                          2589                 -0.649393E+01                 -0.563863E+01                  0.221800E+01                  0.871193E+01                  0.785663E+01                  0.855300E+00                  0.174796E+01
                          8105                 -0.627118E+01                 -0.560087E+01                  0.223600E+01                  0.850718E+01                  0.783687E+01                  0.670310E+00                  0.105423E+01
                          2931                 -0.639377E+01                 -0.528837E+01                  0.239000E+01                  0.878377E+01                  0.767837E+01                  0.110540E+01                  0.166745E+01
                          5594                 -0.654583E+01                 -0.588253E+01                  0.209100E+01                  0.863683E+01                  0.797353E+01                  0.663300E+00                  0.110721E+01
                          3229                 -0.649183E+01                 -0.586343E+01                  0.209900E+01                  0.859083E+01                  0.796243E+01                  0.628400E+00                  0.131681E+01
                          2367                 -0.596197E+01                 -0.576077E+01                  0.215100E+01                  0.811297E+01                  0.791177E+01                  0.201200E+00                  0.127462E+01
                          2203                 -0.621942E+01                 -0.552383E+01                  0.226900E+01                  0.848842E+01                  0.779283E+01                  0.695590E+00                  0.117898E+01
                          2133                 -0.652291E+01                 -0.612201E+01                  0.196400E+01                  0.848691E+01                  0.808601E+01                  0.400900E+00                  0.591510E+00
                          6694                 -0.554106E+01                 -0.443236E+01                  0.279400E+01                  0.833506E+01                  0.722636E+01                  0.110870E+01                  0.160141E+01
                          3869                 -0.635543E+01                 -0.576006E+01                  0.214600E+01                  0.850143E+01                  0.790606E+01                  0.595370E+00                  0.936510E+00
                          5608                 -0.622646E+01                 -0.552110E+01                  0.226600E+01                  0.849246E+01                  0.778710E+01                  0.705360E+00                  0.967550E+00
                          7989                 -0.593322E+01                 -0.509492E+01                  0.247500E+01                  0.840822E+01                  0.756992E+01                  0.838300E+00                  0.148530E+01
                          5604                 -0.572579E+01                 -0.463139E+01                  0.269800E+01                  0.842379E+01                  0.732939E+01                  0.109440E+01                  0.119535E+01
                          7810                 -0.563293E+01                 -0.431363E+01                  0.284600E+01                  0.847893E+01                  0.715963E+01                  0.131930E+01                  0.176997E+01
                          2751                 -0.681800E+01                 -0.565110E+01                  0.219900E+01                  0.901700E+01                  0.785010E+01                  0.116690E+01                  0.131260E+01
                          8009                 -0.633730E+01                 -0.565792E+01                  0.219400E+01                  0.853130E+01                  0.785192E+01                  0.679380E+00                  0.115655E+01
                          2569                 -0.636368E+01                 -0.565620E+01                  0.219500E+01                  0.855868E+01                  0.785120E+01                  0.707480E+00                  0.137438E+01
                          7318                 -0.544628E+01                 -0.429808E+01                  0.285000E+01                  0.829628E+01                  0.714808E+01                  0.114820E+01                  0.117551E+01
                          3814                 -0.622867E+01                 -0.598051E+01                  0.202500E+01                  0.825367E+01                  0.800551E+01                  0.248160E+00                  0.509740E+00
                          6111                 -0.617967E+01                 -0.481828E+01                  0.260100E+01                  0.878067E+01                  0.741928E+01                  0.136139E+01                  0.172941E+01
                          6396                 -0.650545E+01                 -0.541155E+01                  0.230700E+01                  0.881245E+01                  0.771855E+01                  0.109390E+01                  0.172156E+01
                          2187                 -0.686327E+01                 -0.591967E+01                  0.205100E+01                  0.891427E+01                  0.797067E+01                  0.943600E+00                  0.135276E+01
                          7532                 -0.671953E+01                 -0.583363E+01                  0.209100E+01                  0.881053E+01                  0.792463E+01                  0.885900E+00                  0.159439E+01
                          7573                 -0.633726E+01                 -0.539869E+01                  0.230900E+01                  0.864626E+01                  0.770769E+01                  0.938570E+00                  0.171198E+01
                          2101                 -0.656200E+01                 -0.513230E+01                  0.243900E+01                  0.900100E+01                  0.757130E+01                  0.142970E+01                  0.148015E+01
                          1733                 -0.554861E+01                 -0.432921E+01                  0.282300E+01                  0.837161E+01                  0.715221E+01                  0.121940E+01                  0.156656E+01
                          3899                 -0.671672E+01                 -0.533012E+01                  0.233700E+01                  0.905372E+01                  0.766712E+01                  0.138660E+01                  0.164719E+01
                          3153                 -0.635383E+01                 -0.508023E+01                  0.245700E+01                  0.881083E+01                  0.753723E+01                  0.127360E+01                  0.150556E+01
                          5637                 -0.606905E+01                 -0.523215E+01                  0.238200E+01                  0.845105E+01                  0.761415E+01                  0.836900E+00                  0.111992E+01
                          7376                 -0.675758E+01                 -0.614248E+01                  0.192200E+01                  0.867958E+01                  0.806448E+01                  0.615100E+00                  0.964540E+00
                          1515                 -0.633437E+01                 -0.510597E+01                  0.244200E+01                  0.877637E+01                  0.754797E+01                  0.122840E+01                  0.184954E+01
                          6702                 -0.608305E+01                 -0.483738E+01                  0.257100E+01                  0.865405E+01                  0.740838E+01                  0.124567E+01                  0.165070E+01
                          6550                 -0.620264E+01                 -0.562431E+01                  0.218300E+01                  0.838564E+01                  0.780731E+01                  0.578330E+00                  0.112418E+01
                          7322                 -0.610165E+01                 -0.508385E+01                  0.244900E+01                  0.855065E+01                  0.753285E+01                  0.101780E+01                  0.178161E+01
                          3505                 -0.660774E+01                 -0.556084E+01                  0.221300E+01                  0.882074E+01                  0.777384E+01                  0.104690E+01                  0.124155E+01
                           594                 -0.635711E+01                 -0.516761E+01                  0.240800E+01                  0.876511E+01                  0.757561E+01                  0.118950E+01                  0.142943E+01
                          5721                 -0.582407E+01                 -0.484807E+01                  0.256400E+01                  0.838807E+01                  0.741207E+01                  0.976000E+00                  0.161711E+01
                          1087                 -0.659406E+01                 -0.571806E+01                  0.213300E+01                  0.872706E+01                  0.785106E+01                  0.876000E+00                  0.144059E+01
                          2993                 -0.549843E+01                 -0.398733E+01                  0.296600E+01                  0.846443E+01                  0.695333E+01                  0.151110E+01                  0.165128E+01
                          5867                 -0.588688E+01                 -0.545478E+01                  0.226400E+01                  0.815088E+01                  0.771878E+01                  0.432100E+00                  0.111992E+01
                          4710                 -0.586243E+01                 -0.524993E+01                  0.236500E+01                  0.822743E+01                  0.761493E+01                  0.612500E+00                  0.999300E+00
                          5464                 -0.594319E+01                 -0.493619E+01                  0.251900E+01                  0.846219E+01                  0.745519E+01                  0.100700E+01                  0.146030E+01
                          2864                 -0.643887E+01                 -0.518997E+01                  0.239000E+01                  0.882887E+01                  0.757997E+01                  0.124890E+01                  0.149052E+01
                          8112                 -0.657147E+01                 -0.601577E+01                  0.197400E+01                  0.854547E+01                  0.798977E+01                  0.555700E+00                  0.117551E+01
                          6762                 -0.614130E+01                 -0.572680E+01                  0.212200E+01                  0.826330E+01                  0.784880E+01                  0.414500E+00                  0.874370E+00
                          3598                 -0.575756E+01                 -0.542056E+01                  0.227500E+01                  0.803256E+01                  0.769556E+01                  0.337000E+00                  0.783900E+00
                          2383                 -0.561117E+01                 -0.430387E+01                  0.281400E+01                  0.842517E+01                  0.711787E+01                  0.130730E+01                  0.170706E+01
                          2853                 -0.646985E+01                 -0.535535E+01                  0.230700E+01                  0.877685E+01                  0.766235E+01                  0.111450E+01                  0.114551E+01
                          7432                 -0.673187E+01                 -0.603647E+01                  0.196100E+01                  0.869287E+01                  0.799747E+01                  0.695400E+00                  0.119535E+01
                          2749                 -0.624095E+01                 -0.551389E+01                  0.222700E+01                  0.846795E+01                  0.774089E+01                  0.727060E+00                  0.125188E+01
                          1567                 -0.658832E+01                 -0.550462E+01                  0.223000E+01                  0.881832E+01                  0.773462E+01                  0.108370E+01                  0.123426E+01
                           469                 -0.557149E+01                 -0.482359E+01                  0.256300E+01                  0.813449E+01                  0.738659E+01                  0.747900E+00                  0.118808E+01
                          6544                 -0.619673E+01                 -0.488564E+01                  0.253000E+01                  0.872673E+01                  0.741564E+01                  0.131109E+01                  0.151799E+01
                          3779                 -0.655289E+01                 -0.618969E+01                  0.187300E+01                  0.842589E+01                  0.806269E+01                  0.363200E+00                  0.105423E+01
                          7371                 -0.665174E+01                 -0.570634E+01                  0.212300E+01                  0.877474E+01                  0.782934E+01                  0.945400E+00                  0.169496E+01
                          6914                 -0.658615E+01                 -0.600545E+01                  0.196800E+01                  0.855415E+01                  0.797345E+01                  0.580700E+00                  0.188824E+01
                          1492                 -0.664986E+01                 -0.585326E+01                  0.204600E+01                  0.869586E+01                  0.789926E+01                  0.796600E+00                  0.612360E+00
                          3005                 -0.635372E+01                 -0.522662E+01                  0.236000E+01                  0.871372E+01                  0.758662E+01                  0.112710E+01                  0.142943E+01
                          7110                 -0.644256E+01                 -0.535196E+01                  0.229800E+01                  0.874056E+01                  0.764996E+01                  0.109060E+01                  0.189326E+01
                          5542                 -0.605623E+01                 -0.487013E+01                  0.253100E+01                  0.858723E+01                  0.740113E+01                  0.118610E+01                  0.190309E+01
                          3168                 -0.667299E+01                 -0.547219E+01                  0.223400E+01                  0.890699E+01                  0.770619E+01                  0.120080E+01                  0.125720E+01
                          7230                 -0.580491E+01                 -0.484351E+01                  0.254200E+01                  0.834691E+01                  0.738551E+01                  0.961400E+00                  0.165562E+01
                          3515                 -0.650863E+01                 -0.591153E+01                  0.200900E+01                  0.851763E+01                  0.792053E+01                  0.597100E+00                  0.142846E+01
                          7886                 -0.627084E+01                 -0.543029E+01                  0.225300E+01                  0.852384E+01                  0.768329E+01                  0.840550E+00                  0.157634E+01
                          5423                 -0.656016E+01                 -0.609366E+01                  0.191200E+01                  0.847216E+01                  0.800566E+01                  0.466500E+00                  0.112418E+01
                          3032                 -0.613192E+01                 -0.518882E+01                  0.237000E+01                  0.850192E+01                  0.755882E+01                  0.943100E+00                  0.111793E+01
                          2780                 -0.594702E+01                 -0.467952E+01                  0.261700E+01                  0.856402E+01                  0.729652E+01                  0.126750E+01                  0.172941E+01
                          5605                 -0.666160E+01                 -0.581760E+01                  0.205300E+01                  0.871460E+01                  0.787060E+01                  0.844000E+00                  0.863080E+00
                          1148                 -0.615682E+01                 -0.480126E+01                  0.255600E+01                  0.871282E+01                  0.735726E+01                  0.135557E+01                  0.169320E+01
                          2349                 -0.673633E+01                 -0.621102E+01                  0.184600E+01                  0.858233E+01                  0.805702E+01                  0.525310E+00                  0.605520E+00
                          6796                 -0.673025E+01                 -0.595345E+01                  0.198100E+01                  0.871125E+01                  0.793445E+01                  0.776800E+00                  0.132858E+01
                          2345                 -0.596270E+01                 -0.511650E+01                  0.240100E+01                  0.836370E+01                  0.751750E+01                  0.846200E+00                  0.194919E+01
                          6355                 -0.661545E+01                 -0.537475E+01                  0.227300E+01                  0.888845E+01                  0.764775E+01                  0.124070E+01                  0.146509E+01
                          1642                 -0.665802E+01                 -0.549542E+01                  0.221100E+01                  0.886902E+01                  0.770642E+01                  0.116260E+01                  0.191845E+01
                          1731                 -0.583244E+01                 -0.477554E+01                  0.256500E+01                  0.839744E+01                  0.734054E+01                  0.105690E+01                  0.119893E+01
                          1651                 -0.585217E+01                 -0.513197E+01                  0.239000E+01                  0.824217E+01                  0.752197E+01                  0.720200E+00                  0.930030E+00
                          7603                 -0.627277E+01                 -0.607483E+01                  0.191300E+01                  0.818577E+01                  0.798783E+01                  0.197940E+00                  0.967550E+00
                           660                 -0.569347E+01                 -0.499077E+01                  0.245800E+01                  0.815147E+01                  0.744877E+01                  0.702700E+00                  0.130449E+01
                          7825                 -0.686361E+01                 -0.623249E+01                  0.182900E+01                  0.869261E+01                  0.806149E+01                  0.631120E+00                  0.936510E+00
                          6304                 -0.654156E+01                 -0.582956E+01                  0.203900E+01                  0.858056E+01                  0.786856E+01                  0.712000E+00                  0.152466E+01
                          3914                 -0.688833E+01                 -0.593573E+01                  0.198300E+01                  0.887133E+01                  0.791873E+01                  0.952600E+00                  0.173584E+01
                          2047                 -0.615552E+01                 -0.548612E+01                  0.221100E+01                  0.836652E+01                  0.769712E+01                  0.669400E+00                  0.161374E+01
                          8086                 -0.581009E+01                 -0.486519E+01                  0.251500E+01                  0.832509E+01                  0.738019E+01                  0.944900E+00                  0.126553E+01
                           414                 -0.650881E+01                 -0.607501E+01                  0.190700E+01                  0.841581E+01                  0.798201E+01                  0.433800E+00                  0.119173E+01
                          3801                 -0.646104E+01                 -0.562484E+01                  0.213800E+01                  0.859904E+01                  0.776284E+01                  0.836200E+00                  0.148785E+01
                          5554                 -0.608398E+01                 -0.473519E+01                  0.257700E+01                  0.866098E+01                  0.731219E+01                  0.134879E+01                  0.189927E+01
                          6152                 -0.644892E+01                 -0.539842E+01                  0.225000E+01                  0.869892E+01                  0.764842E+01                  0.105050E+01                  0.153453E+01
                          6611                 -0.632877E+01                 -0.562407E+01                  0.213600E+01                  0.846477E+01                  0.776007E+01                  0.704700E+00                  0.100217E+01
                          4939                 -0.625595E+01                 -0.544404E+01                  0.222600E+01                  0.848195E+01                  0.767004E+01                  0.811910E+00                  0.130233E+01
                          6317                 -0.642817E+01                 -0.593507E+01                  0.197600E+01                  0.840417E+01                  0.791107E+01                  0.493100E+00                  0.888970E+00
                          1416                 -0.635799E+01                 -0.621688E+01                  0.182700E+01                  0.818499E+01                  0.804388E+01                  0.141110E+00                  0.538570E+00
                          6388                 -0.640778E+01                 -0.551118E+01                  0.219100E+01                  0.859878E+01                  0.770218E+01                  0.896600E+00                  0.131931E+01
                           501                 -0.635137E+01                 -0.603907E+01                  0.192000E+01                  0.827137E+01                  0.795907E+01                  0.312300E+00                  0.152802E+01
                          2310                 -0.671264E+01                 -0.568004E+01                  0.210500E+01                  0.881764E+01                  0.778504E+01                  0.103260E+01                  0.142991E+01
                           999                 -0.529582E+01                 -0.480002E+01                  0.254100E+01                  0.783682E+01                  0.734102E+01                  0.495800E+00                  0.823210E+00
                          3805                 -0.646040E+01                 -0.557270E+01                  0.215900E+01                  0.861940E+01                  0.773170E+01                  0.887700E+00                  0.147828E+01
                          7803                 -0.606890E+01                 -0.565300E+01                  0.211800E+01                  0.818690E+01                  0.777100E+01                  0.415900E+00                  0.638690E+00
                          6337                 -0.620111E+01                 -0.477386E+01                  0.255100E+01                  0.875211E+01                  0.732486E+01                  0.142725E+01                  0.181010E+01
                          2143                 -0.645037E+01                 -0.522917E+01                  0.232800E+01                  0.877837E+01                  0.755717E+01                  0.122120E+01                  0.134772E+01
                          2207                 -0.677556E+01                 -0.633845E+01                  0.175700E+01                  0.853256E+01                  0.809545E+01                  0.437110E+00                  0.505150E+00
                          6158                 -0.642574E+01                 -0.610174E+01                  0.188300E+01                  0.830874E+01                  0.798474E+01                  0.324000E+00                  0.933280E+00
                          2070                 -0.660141E+01                 -0.570431E+01                  0.208700E+01                  0.868841E+01                  0.779131E+01                  0.897100E+00                  0.174218E+01
                          3871                 -0.623020E+01                 -0.510037E+01                  0.238900E+01                  0.861920E+01                  0.748937E+01                  0.112983E+01                  0.164444E+01
                          1559                 -0.630667E+01                 -0.512111E+01                  0.237700E+01                  0.868367E+01                  0.749811E+01                  0.118556E+01                  0.151028E+01
                          6522                 -0.608306E+01                 -0.568466E+01                  0.209400E+01                  0.817706E+01                  0.777866E+01                  0.398400E+00                  0.257749E+01
                          6678                 -0.672995E+01                 -0.621511E+01                  0.181700E+01                  0.854695E+01                  0.803211E+01                  0.514840E+00                  0.913390E+00
                          1922                 -0.604368E+01                 -0.550258E+01                  0.218500E+01                  0.822868E+01                  0.768758E+01                  0.541100E+00                  0.120925E+01
                          5475                 -0.607710E+01                 -0.503140E+01                  0.241800E+01                  0.849510E+01                  0.744940E+01                  0.104570E+01                  0.186213E+01
                          3267                 -0.671527E+01                 -0.549767E+01                  0.218600E+01                  0.890127E+01                  0.768367E+01                  0.121760E+01                  0.173512E+01
                          1924                 -0.624500E+01                 -0.511311E+01                  0.237700E+01                  0.862200E+01                  0.749011E+01                  0.113189E+01                  0.142423E+01
                          7766                 -0.489658E+01                 -0.355438E+01                  0.310900E+01                  0.800558E+01                  0.666338E+01                  0.134220E+01                  0.189182E+01
                          5640                 -0.647662E+01                 -0.569042E+01                  0.208600E+01                  0.856262E+01                  0.777642E+01                  0.786200E+00                  0.121617E+01
                          1701                 -0.638625E+01                 -0.611756E+01                  0.186400E+01                  0.825025E+01                  0.798156E+01                  0.268690E+00                  0.530460E+00
                          3026                 -0.634695E+01                 -0.552697E+01                  0.216800E+01                  0.851495E+01                  0.769497E+01                  0.819980E+00                  0.104179E+01
                          7900                 -0.614299E+01                 -0.495295E+01                  0.245100E+01                  0.859399E+01                  0.740395E+01                  0.119004E+01                  0.178390E+01
                           704                 -0.618474E+01                 -0.520552E+01                  0.232700E+01                  0.851174E+01                  0.753252E+01                  0.979220E+00                  0.166172E+01
                          5305                 -0.650411E+01                 -0.528221E+01                  0.228800E+01                  0.879211E+01                  0.757021E+01                  0.122190E+01                  0.149941E+01
                          7566                 -0.633710E+01                 -0.523260E+01                  0.231200E+01                  0.864910E+01                  0.754460E+01                  0.110450E+01                  0.145454E+01
                          3301                 -0.565782E+01                 -0.436342E+01                  0.273000E+01                  0.838782E+01                  0.709342E+01                  0.129440E+01                  0.155751E+01
                          7500                 -0.646712E+01                 -0.567592E+01                  0.208600E+01                  0.855312E+01                  0.776192E+01                  0.791200E+00                  0.155437E+01
