                       trigger        Pbol64[0.001,20000]keV          Sbol[0.001,20000]keV                           Epk                           T90   Log(Pbol64[0.001,20000]keV)     Log(Sbol[0.001,20000]keV)                      Log(Epk)                      Log(T90)                    Log(P64ph)              Log(Eff_Trig_PF)                      Log(EPR)                      Log(EFR)                      Log(ETR)                      Log(FPR)                      Log(TPR)                      Log(TFR)                      Log(EPM)                      Log(EFM)                      Log(ETM)                      Log(FPM)                      Log(TPM)                      Log(TFM)
                          6136                  0.164868E-05                  0.610503E-06                  0.937562E+02                  0.191999E+01                 -0.578286E+01                 -0.621431E+01                  0.197200E+01                  0.283300E+00                  0.535300E+00                  0.449943E+00                  0.775486E+01                  0.818631E+01                  0.168870E+01                 -0.431447E+00                  0.606616E+01                  0.649761E+01                 -0.381086E+01                 -0.424231E+01                  0.225530E+01                 -0.119972E+02                 -0.549956E+01                 -0.593101E+01
                           929                  0.160077E-05                  0.289619E-05                  0.110408E+04                  0.800995E+00                 -0.579567E+01                 -0.553817E+01                  0.304300E+01                 -0.963700E-01                  0.618300E-01                 -0.108274E+00                  0.883867E+01                  0.858117E+01                  0.313937E+01                  0.257497E+00                  0.569930E+01                  0.544180E+01                 -0.275267E+01                 -0.249517E+01                  0.294663E+01                 -0.113338E+02                 -0.589204E+01                 -0.563454E+01
                          7805                  0.486494E-06                  0.647084E-06                  0.184077E+03                  0.268800E+01                 -0.631292E+01                 -0.618904E+01                  0.226500E+01                  0.429430E+00                 -0.377300E-01                 -0.996881E-01                  0.857792E+01                  0.845404E+01                  0.183557E+01                  0.123883E+00                  0.674235E+01                  0.661847E+01                 -0.404792E+01                 -0.392404E+01                  0.269443E+01                 -0.125020E+02                 -0.588349E+01                 -0.575961E+01
                          3530                  0.878778E-06                  0.113042E-05                  0.229087E+03                  0.160000E+01                 -0.605612E+01                 -0.594676E+01                  0.236000E+01                  0.204120E+00                  0.187500E+00                  0.872754E-01                  0.841612E+01                  0.830676E+01                  0.215588E+01                  0.109362E+00                  0.626024E+01                  0.615088E+01                 -0.369612E+01                 -0.358676E+01                  0.256412E+01                 -0.120029E+02                 -0.585200E+01                 -0.574264E+01
                          5485                  0.399432E-06                  0.708947E-06                  0.297167E+03                  0.383999E+01                 -0.639856E+01                 -0.614939E+01                  0.247300E+01                  0.584330E+00                 -0.202700E+00                 -0.245307E+00                  0.887156E+01                  0.862239E+01                  0.188867E+01                  0.249171E+00                  0.698289E+01                  0.673372E+01                 -0.392556E+01                 -0.367639E+01                  0.305733E+01                 -0.125479E+02                 -0.581423E+01                 -0.556506E+01
                          6091                  0.108718E-05                  0.507608E-06                  0.616595E+02                  0.147201E+01                 -0.596370E+01                 -0.629447E+01                  0.179000E+01                  0.167910E+00                  0.336100E+00                  0.228562E+00                  0.775370E+01                  0.808447E+01                  0.162209E+01                 -0.330775E+00                  0.613161E+01                  0.646238E+01                 -0.417370E+01                 -0.450447E+01                  0.195791E+01                 -0.122582E+02                 -0.579579E+01                 -0.612656E+01
                          3939                  0.987591E-06                  0.130036E-05                  0.133968E+03                  0.171700E+01                 -0.600542E+01                 -0.588594E+01                  0.212700E+01                  0.234770E+00                  0.300600E+00                  0.206314E+00                  0.813242E+01                  0.801294E+01                  0.189223E+01                  0.119487E+00                  0.624019E+01                  0.612071E+01                 -0.387842E+01                 -0.375894E+01                  0.236177E+01                 -0.118914E+02                 -0.577065E+01                 -0.565117E+01
                          2680                  0.766439E-06                  0.369442E-05                  0.456037E+03                  0.537601E+01                 -0.611552E+01                 -0.543245E+01                  0.265900E+01                  0.730460E+00                 -0.145700E-01                 -0.435083E-01                  0.877452E+01                  0.809145E+01                  0.192854E+01                  0.683069E+00                  0.684598E+01                  0.616291E+01                 -0.345652E+01                 -0.277345E+01                  0.338946E+01                 -0.115480E+02                 -0.538506E+01                 -0.470199E+01
                          2861                  0.164219E-05                  0.248085E-05                  0.354813E+03                  0.159901E+01                 -0.578458E+01                 -0.560540E+01                  0.255000E+01                  0.203850E+00                  0.375800E+00                  0.275522E+00                  0.833458E+01                  0.815540E+01                  0.234615E+01                  0.179177E+00                  0.598843E+01                  0.580925E+01                 -0.323458E+01                 -0.305540E+01                  0.275385E+01                 -0.113900E+02                 -0.558073E+01                 -0.540155E+01
                          2851                  0.348445E-06                  0.415024E-06                  0.149624E+03                  0.236799E+01                 -0.645787E+01                 -0.638193E+01                  0.217500E+01                  0.374380E+00                 -0.160500E+00                 -0.230665E+00                  0.863287E+01                  0.855693E+01                  0.180062E+01                  0.759384E-01                  0.683225E+01                  0.675631E+01                 -0.428287E+01                 -0.420693E+01                  0.254938E+01                 -0.128398E+02                 -0.608349E+01                 -0.600755E+01
                          6635                  0.582732E-05                  0.290442E-05                  0.110917E+03                  0.115199E+01                 -0.523453E+01                 -0.553694E+01                  0.204500E+01                  0.614500E-01                  0.108100E+01                  0.950135E+00                  0.727953E+01                  0.758194E+01                  0.198355E+01                 -0.302410E+00                  0.529598E+01                  0.559839E+01                 -0.318953E+01                 -0.349194E+01                  0.210645E+01                 -0.107715E+02                 -0.517308E+01                 -0.547549E+01
