                       trigger        Pbol64[0.001,20000]keV          Sbol[0.001,20000]keV                           Epk                           T90   Log(Pbol64[0.001,20000]keV)     Log(Sbol[0.001,20000]keV)                      Log(Epk)                      Log(T90)                    Log(P64ph)              Log(Eff_Trig_PF)                      Log(EPR)                      Log(EFR)                      Log(ETR)                      Log(FPR)                      Log(TPR)                      Log(TFR)                      Log(EPM)                      Log(EFM)                      Log(ETM)                      Log(FPM)                      Log(TPM)                      Log(TFM)
                          6571                  0.646982E-06                  0.531512E-07                  0.129122E+03                  0.326002E+00                 -0.618911E+01                 -0.727449E+01                  0.211100E+01                 -0.486780E+00                  0.119300E+00                 -0.163991E+00                  0.830011E+01                  0.938549E+01                  0.259778E+01                 -0.108538E+01                  0.570233E+01                  0.678771E+01                 -0.407811E+01                 -0.516349E+01                  0.162422E+01                 -0.134636E+02                 -0.667589E+01                 -0.776127E+01
                          2132                  0.114506E-05                  0.757095E-07                  0.148594E+03                  0.899995E-01                 -0.594117E+01                 -0.712085E+01                  0.217200E+01                 -0.104576E+01                  0.356800E+00                 -0.809122E-01                  0.811317E+01                  0.929285E+01                  0.321776E+01                 -0.117968E+01                  0.489541E+01                  0.607509E+01                 -0.376917E+01                 -0.494885E+01                  0.112624E+01                 -0.130620E+02                 -0.698693E+01                 -0.816661E+01
                          7447                  0.407505E-05                  0.394596E-06                  0.243220E+03                  0.392004E+00                 -0.538987E+01                 -0.640385E+01                  0.238600E+01                 -0.406710E+00                  0.843700E+00                  0.584626E+00                  0.777587E+01                  0.878985E+01                  0.279271E+01                 -0.101398E+01                  0.498316E+01                  0.599714E+01                 -0.300387E+01                 -0.401785E+01                  0.197929E+01                 -0.117937E+02                 -0.579658E+01                 -0.681056E+01
                          6180                  0.727690E-06                  0.211609E-06                  0.200909E+03                  0.896004E+00                 -0.613805E+01                 -0.667447E+01                  0.230300E+01                 -0.476900E-01                  0.125500E+00                 -0.319520E-01                  0.844105E+01                  0.897747E+01                  0.235069E+01                 -0.536412E+00                  0.609036E+01                  0.662678E+01                 -0.383505E+01                 -0.437147E+01                  0.225531E+01                 -0.128125E+02                 -0.618574E+01                 -0.672216E+01
                          2504                  0.284602E-05                  0.609077E-06                  0.477529E+03                  0.128000E+00                 -0.554576E+01                 -0.621533E+01                  0.267900E+01                 -0.892790E+00                  0.543700E+00                  0.143389E+00                  0.822476E+01                  0.889433E+01                  0.357179E+01                 -0.669566E+00                  0.465297E+01                  0.532254E+01                 -0.286676E+01                 -0.353633E+01                  0.178621E+01                 -0.117611E+02                 -0.643855E+01                 -0.710812E+01
                          1128                  0.432959E-06                  0.364681E-07                  0.135831E+03                  0.294999E+00                 -0.636355E+01                 -0.743809E+01                  0.213300E+01                 -0.530180E+00                 -0.584900E-01                 -0.354920E+00                  0.849655E+01                  0.957109E+01                  0.266318E+01                 -0.107453E+01                  0.583337E+01                  0.690791E+01                 -0.423055E+01                 -0.530509E+01                  0.160282E+01                 -0.138016E+02                 -0.689373E+01                 -0.796827E+01
                          2360                  0.808630E-06                  0.275784E-06                  0.221309E+03                  0.568002E+00                 -0.609225E+01                 -0.655943E+01                  0.234500E+01                 -0.245650E+00                  0.156900E+00                 -0.545488E-01                  0.843725E+01                  0.890443E+01                  0.259065E+01                 -0.467180E+00                  0.584660E+01                  0.631378E+01                 -0.374725E+01                 -0.421443E+01                  0.209935E+01                 -0.126517E+02                 -0.633790E+01                 -0.680508E+01
                           809                  0.246326E-05                  0.731491E-06                  0.256448E+03                  0.128000E+01                 -0.560849E+01                 -0.613579E+01                  0.240900E+01                  0.107210E+00                  0.615700E+00                  0.495190E+00                  0.801749E+01                  0.854479E+01                  0.230179E+01                 -0.527302E+00                  0.571570E+01                  0.624300E+01                 -0.319949E+01                 -0.372679E+01                  0.251621E+01                 -0.117443E+02                 -0.550128E+01                 -0.602858E+01
                          2748                  0.744010E-06                  0.100767E-06                  0.144877E+03                  0.383999E+00                 -0.612842E+01                 -0.699668E+01                  0.216100E+01                 -0.415670E+00                  0.171700E+00                 -0.900759E-01                  0.828942E+01                  0.915768E+01                  0.257667E+01                 -0.868260E+00                  0.571275E+01                  0.658101E+01                 -0.396742E+01                 -0.483568E+01                  0.174533E+01                 -0.131251E+02                 -0.654409E+01                 -0.741235E+01
                          5770                  0.139445E-05                  0.787627E-06                  0.650130E+03                  0.726993E+00                 -0.585560E+01                 -0.610368E+01                  0.281300E+01                 -0.138470E+00                  0.152900E+00                 -0.285013E-01                  0.866860E+01                  0.891668E+01                  0.295147E+01                 -0.248082E+00                  0.571713E+01                  0.596521E+01                 -0.304260E+01                 -0.329068E+01                  0.267453E+01                 -0.119593E+02                 -0.599407E+01                 -0.624215E+01
                          7602                  0.268946E-05                  0.388692E-06                  0.487528E+03                  0.426796E+01                 -0.557034E+01                 -0.641039E+01                  0.268800E+01                  0.630220E+00                  0.513900E+00                  0.476033E+00                  0.825834E+01                  0.909839E+01                  0.205778E+01                 -0.840059E+00                  0.620056E+01                  0.704061E+01                 -0.288234E+01                 -0.372239E+01                  0.331822E+01                 -0.119807E+02                 -0.494012E+01                 -0.578017E+01
                          2892                  0.116080E-05                  0.140638E-06                  0.132739E+03                  0.287998E+00                 -0.593524E+01                 -0.685190E+01                  0.212300E+01                 -0.540610E+00                  0.371400E+00                  0.718173E-01                  0.805824E+01                  0.897490E+01                  0.266361E+01                 -0.916654E+00                  0.539463E+01                  0.631129E+01                 -0.381224E+01                 -0.472890E+01                  0.158239E+01                 -0.127871E+02                 -0.647585E+01                 -0.739251E+01
                           537                  0.166583E-05                  0.303673E-05                  0.578096E+03                  0.428795E+01                 -0.577837E+01                 -0.551759E+01                  0.276200E+01                  0.632250E+00                  0.261700E+00                  0.224033E+00                  0.854037E+01                  0.827959E+01                  0.212975E+01                  0.260776E+00                  0.641062E+01                  0.614984E+01                 -0.301637E+01                 -0.275559E+01                  0.339425E+01                 -0.112960E+02                 -0.514612E+01                 -0.488534E+01
                          6439                  0.816011E-06                  0.131089E-06                  0.201837E+03                  0.256000E+00                 -0.608830E+01                 -0.688243E+01                  0.230500E+01                 -0.591760E+00                  0.174600E+00                 -0.140381E+00                  0.839330E+01                  0.918743E+01                  0.289676E+01                 -0.794131E+00                  0.549654E+01                  0.629067E+01                 -0.378330E+01                 -0.457743E+01                  0.171324E+01                 -0.129707E+02                 -0.668006E+01                 -0.747419E+01
                          3293                  0.133088E-05                  0.286468E-06                  0.242103E+03                  0.256000E+00                 -0.587586E+01                 -0.654292E+01                  0.238400E+01                 -0.591760E+00                  0.358500E+00                  0.435192E-01                  0.825986E+01                  0.892692E+01                  0.297576E+01                 -0.667062E+00                  0.528410E+01                  0.595116E+01                 -0.349186E+01                 -0.415892E+01                  0.179224E+01                 -0.124188E+02                 -0.646762E+01                 -0.713468E+01
                          7922                  0.148166E-05                  0.190885E-06                  0.171002E+03                  0.421998E+00                 -0.582925E+01                 -0.671923E+01                  0.223300E+01                 -0.374690E+00                  0.454700E+00                  0.205251E+00                  0.806225E+01                  0.895223E+01                  0.260769E+01                 -0.889977E+00                  0.545456E+01                  0.634454E+01                 -0.359625E+01                 -0.448623E+01                  0.185831E+01                 -0.125485E+02                 -0.620394E+01                 -0.709392E+01
                          3340                  0.188455E-05                  0.758228E-06                  0.325837E+03                  0.101599E+01                 -0.572479E+01                 -0.612020E+01                  0.251300E+01                  0.689000E-02                  0.454400E+00                  0.310566E+00                  0.823779E+01                  0.863320E+01                  0.250611E+01                 -0.395408E+00                  0.573168E+01                  0.612709E+01                 -0.321179E+01                 -0.360720E+01                  0.251989E+01                 -0.118450E+02                 -0.571790E+01                 -0.611331E+01
                          3333                  0.100839E-05                  0.530886E-07                  0.228034E+03                  0.519996E-01                 -0.599637E+01                 -0.727500E+01                  0.235800E+01                 -0.128400E+01                  0.248000E+00                 -0.237110E+00                  0.835437E+01                  0.963300E+01                  0.364200E+01                 -0.127863E+01                  0.471237E+01                  0.599100E+01                 -0.363837E+01                 -0.491700E+01                  0.107400E+01                 -0.132714E+02                 -0.728037E+01                 -0.855900E+01
                          2068                  0.851379E-05                  0.101979E-05                  0.200447E+03                  0.591003E+00                 -0.506988E+01                 -0.599149E+01                  0.230200E+01                 -0.228410E+00                  0.119400E+01                  0.987495E+00                  0.737188E+01                  0.829349E+01                  0.253041E+01                 -0.921612E+00                  0.484147E+01                  0.576308E+01                 -0.276788E+01                 -0.368949E+01                  0.207359E+01                 -0.110614E+02                 -0.529829E+01                 -0.621990E+01
                          6542                  0.271195E-05                  0.870007E-06                  0.610942E+03                  0.102400E+01                 -0.556672E+01                 -0.606048E+01                  0.278600E+01                  0.103000E-01                  0.458600E+00                  0.315595E+00                  0.835272E+01                  0.884648E+01                  0.277570E+01                 -0.493759E+00                  0.557702E+01                  0.607078E+01                 -0.278072E+01                 -0.327448E+01                  0.279630E+01                 -0.116272E+02                 -0.555642E+01                 -0.605018E+01
                          7595                  0.986298E-06                  0.160631E-06                  0.177419E+03                  0.786991E+00                 -0.600599E+01                 -0.679417E+01                  0.224900E+01                 -0.104030E+00                  0.273700E+00                  0.101564E+00                  0.825499E+01                  0.904317E+01                  0.235303E+01                 -0.788178E+00                  0.590196E+01                  0.669014E+01                 -0.375699E+01                 -0.454517E+01                  0.214497E+01                 -0.128002E+02                 -0.611002E+01                 -0.689820E+01
                          2978                  0.507558E-05                  0.680353E-06                  0.238232E+03                  0.359998E+00                 -0.529451E+01                 -0.616727E+01                  0.237700E+01                 -0.443700E+00                  0.942600E+00                  0.672355E+00                  0.767151E+01                  0.854427E+01                  0.282070E+01                 -0.872751E+00                  0.485081E+01                  0.572357E+01                 -0.291751E+01                 -0.379027E+01                  0.193330E+01                 -0.114618E+02                 -0.573821E+01                 -0.661097E+01
                          1129                  0.465968E-06                  0.198350E-06                  0.231739E+03                  0.959997E+00                 -0.633164E+01                 -0.670257E+01                  0.236500E+01                 -0.177300E-01                 -0.899100E-01                 -0.239810E+00                  0.869664E+01                  0.906757E+01                  0.238273E+01                 -0.370925E+00                  0.631391E+01                  0.668484E+01                 -0.396664E+01                 -0.433757E+01                  0.234727E+01                 -0.130342E+02                 -0.634937E+01                 -0.672030E+01
                          1073                  0.157025E-05                  0.397923E-06                  0.239332E+03                  0.512000E+00                 -0.580403E+01                 -0.640020E+01                  0.237900E+01                 -0.290730E+00                  0.432300E+00                  0.207757E+00                  0.818303E+01                  0.877920E+01                  0.266973E+01                 -0.596170E+00                  0.551330E+01                  0.610947E+01                 -0.342503E+01                 -0.402120E+01                  0.208827E+01                 -0.122042E+02                 -0.609476E+01                 -0.669093E+01
                          5733                  0.116046E-05                  0.137174E-06                  0.230144E+03                  0.674994E+00                 -0.593537E+01                 -0.686273E+01                  0.236200E+01                 -0.170700E+00                  0.307500E+00                  0.117245E+00                  0.829737E+01                  0.922473E+01                  0.253270E+01                 -0.927359E+00                  0.576467E+01                  0.669203E+01                 -0.357337E+01                 -0.450073E+01                  0.219130E+01                 -0.127981E+02                 -0.610607E+01                 -0.703343E+01
                          6786                  0.769181E-06                  0.143275E-06                  0.147911E+03                  0.104100E+01                 -0.611397E+01                 -0.684383E+01                  0.217000E+01                  0.174500E-01                  0.184400E+00                  0.431272E-01                  0.828397E+01                  0.901383E+01                  0.215255E+01                 -0.729859E+00                  0.613142E+01                  0.686128E+01                 -0.394397E+01                 -0.467383E+01                  0.218745E+01                 -0.129578E+02                 -0.609652E+01                 -0.682638E+01
                          6443                  0.181747E-05                  0.165176E-05                  0.783430E+03                  0.659204E+01                 -0.574053E+01                 -0.578205E+01                  0.289400E+01                  0.819020E+00                  0.216200E+00                  0.193676E+00                  0.863453E+01                  0.867605E+01                  0.207498E+01                 -0.415213E-01                  0.655955E+01                  0.660107E+01                 -0.284653E+01                 -0.288805E+01                  0.371302E+01                 -0.115226E+02                 -0.492151E+01                 -0.496303E+01
                           486                  0.785534E-06                  0.121627E-06                  0.151356E+03                  0.320000E+00                 -0.610484E+01                 -0.691497E+01                  0.218000E+01                 -0.494850E+00                  0.191500E+00                 -0.942359E-01                  0.828484E+01                  0.909497E+01                  0.267485E+01                 -0.810136E+00                  0.560999E+01                  0.642012E+01                 -0.392484E+01                 -0.473497E+01                  0.168515E+01                 -0.130198E+02                 -0.659969E+01                 -0.740982E+01
                          7187                  0.353317E-05                  0.376651E-06                  0.265461E+03                  0.207000E+01                 -0.545184E+01                 -0.642406E+01                  0.242400E+01                  0.315970E+00                  0.766000E+00                  0.686326E+00                  0.787584E+01                  0.884806E+01                  0.210803E+01                 -0.972225E+00                  0.576781E+01                  0.674003E+01                 -0.302784E+01                 -0.400006E+01                  0.273997E+01                 -0.118759E+02                 -0.513587E+01                 -0.610809E+01
                          2512                  0.211218E-05                  0.439947E-06                  0.260016E+03                  0.358996E+00                 -0.567527E+01                 -0.635660E+01                  0.241500E+01                 -0.444910E+00                  0.546400E+00                  0.275789E+00                  0.809027E+01                  0.877160E+01                  0.285991E+01                 -0.681330E+00                  0.523036E+01                  0.591169E+01                 -0.326027E+01                 -0.394160E+01                  0.197009E+01                 -0.120319E+02                 -0.612018E+01                 -0.680151E+01
                          3888                  0.446942E-05                  0.247941E-05                  0.629506E+03                  0.173600E+01                 -0.534975E+01                 -0.560565E+01                  0.279900E+01                  0.239550E+00                  0.667500E+00                  0.574119E+00                  0.814875E+01                  0.840465E+01                  0.255945E+01                 -0.255903E+00                  0.558930E+01                  0.584520E+01                 -0.255075E+01                 -0.280665E+01                  0.303855E+01                 -0.109554E+02                 -0.511020E+01                 -0.536610E+01
                          3895                  0.424295E-06                  0.170012E-06                  0.219786E+03                  0.767998E+00                 -0.637233E+01                 -0.676952E+01                  0.234200E+01                 -0.114640E+00                 -0.122100E+00                 -0.297068E+00                  0.871433E+01                  0.911152E+01                  0.245664E+01                 -0.397189E+00                  0.625769E+01                  0.665488E+01                 -0.403033E+01                 -0.442752E+01                  0.222736E+01                 -0.131419E+02                 -0.648697E+01                 -0.688416E+01
                          7663                  0.404806E-05                  0.136475E-05                  0.187499E+03                  0.944996E+00                 -0.539275E+01                 -0.586495E+01                  0.227300E+01                 -0.245700E-01                  0.880100E+00                  0.728492E+00                  0.766575E+01                  0.813795E+01                  0.229757E+01                 -0.472195E+00                  0.536818E+01                  0.584038E+01                 -0.311975E+01                 -0.359195E+01                  0.224843E+01                 -0.112577E+02                 -0.541732E+01                 -0.588952E+01
                          1097                  0.161978E-05                  0.223603E-06                  0.283792E+03                  0.793999E+00                 -0.579054E+01                 -0.665052E+01                  0.245300E+01                 -0.100180E+00                  0.414500E+00                  0.243387E+00                  0.824354E+01                  0.910352E+01                  0.255318E+01                 -0.859977E+00                  0.569036E+01                  0.655034E+01                 -0.333754E+01                 -0.419752E+01                  0.235282E+01                 -0.124411E+02                 -0.589072E+01                 -0.675070E+01
                          2988                  0.718193E-05                  0.529223E-05                  0.622300E+03                  0.467197E+01                 -0.514376E+01                 -0.527636E+01                  0.279400E+01                  0.669500E+00                  0.876600E+00                  0.842457E+00                  0.793776E+01                  0.807036E+01                  0.212450E+01                 -0.132603E+00                  0.581326E+01                  0.594586E+01                 -0.234976E+01                 -0.248236E+01                  0.346350E+01                 -0.104201E+02                 -0.447426E+01                 -0.460686E+01
                          2973                  0.116904E-05                  0.312057E-06                  0.244343E+03                  0.637001E+00                 -0.593217E+01                 -0.650577E+01                  0.238800E+01                 -0.195860E+00                  0.300600E+00                  0.103320E+00                  0.832017E+01                  0.889377E+01                  0.258386E+01                 -0.573597E+00                  0.573631E+01                  0.630991E+01                 -0.354417E+01                 -0.411777E+01                  0.219214E+01                 -0.124379E+02                 -0.612803E+01                 -0.670163E+01
                           138                  0.621669E-06                  0.186839E-06                  0.219280E+03                  0.315000E+00                 -0.620644E+01                 -0.672853E+01                  0.234100E+01                 -0.501690E+00                  0.441500E-01                 -0.243658E+00                  0.854744E+01                  0.906953E+01                  0.284269E+01                 -0.522091E+00                  0.570475E+01                  0.622684E+01                 -0.386544E+01                 -0.438753E+01                  0.183931E+01                 -0.129350E+02                 -0.670813E+01                 -0.723022E+01
                          7078                  0.280865E-05                  0.278438E-06                  0.205116E+03                  0.448002E+00                 -0.555150E+01                 -0.655527E+01                  0.231200E+01                 -0.348720E+00                  0.709100E+00                  0.467413E+00                  0.786350E+01                  0.886727E+01                  0.266072E+01                 -0.100377E+01                  0.520278E+01                  0.620655E+01                 -0.323950E+01                 -0.424327E+01                  0.196328E+01                 -0.121068E+02                 -0.590022E+01                 -0.690399E+01
                          6689                  0.226072E-05                  0.607735E-06                  0.488652E+03                  0.191999E+00                 -0.564575E+01                 -0.621629E+01                  0.268900E+01                 -0.716700E+00                  0.437900E+00                  0.860924E-01                  0.833475E+01                  0.890529E+01                  0.340570E+01                 -0.570533E+00                  0.492905E+01                  0.549959E+01                 -0.295675E+01                 -0.352729E+01                  0.197230E+01                 -0.118620E+02                 -0.636245E+01                 -0.693299E+01
                          8077                  0.906281E-06                  0.127339E-06                  0.154170E+03                  0.166399E+01                 -0.604274E+01                 -0.689504E+01                  0.218800E+01                  0.221150E+00                  0.251900E+00                  0.155004E+00                  0.823074E+01                  0.908304E+01                  0.196685E+01                 -0.852302E+00                  0.626389E+01                  0.711619E+01                 -0.385474E+01                 -0.470704E+01                  0.240915E+01                 -0.129378E+02                 -0.582159E+01                 -0.667389E+01
                          3894                  0.121293E-05                  0.425424E-06                  0.407380E+03                  0.148300E+01                 -0.591616E+01                 -0.637118E+01                  0.261000E+01                  0.171140E+00                  0.212200E+00                  0.105328E+00                  0.852616E+01                  0.898118E+01                  0.243886E+01                 -0.455014E+00                  0.608730E+01                  0.654232E+01                 -0.330616E+01                 -0.376118E+01                  0.278114E+01                 -0.122873E+02                 -0.574502E+01                 -0.620004E+01
                          3374                  0.178670E-05                  0.894146E-06                  0.516416E+03                  0.228402E+01                 -0.574795E+01                 -0.604859E+01                  0.271300E+01                  0.358700E+00                  0.321600E+00                  0.248964E+00                  0.846095E+01                  0.876159E+01                  0.235430E+01                 -0.300643E+00                  0.610665E+01                  0.640729E+01                 -0.303495E+01                 -0.333559E+01                  0.307170E+01                 -0.117965E+02                 -0.538925E+01                 -0.568989E+01
                          6535                  0.118764E-04                  0.148655E-04                  0.669885E+03                  0.166399E+01                 -0.492532E+01                 -0.482782E+01                  0.282600E+01                  0.221150E+00                  0.107500E+01                  0.978104E+00                  0.775132E+01                  0.765382E+01                  0.260485E+01                  0.974955E-01                  0.514647E+01                  0.504897E+01                 -0.209932E+01                 -0.200182E+01                  0.304715E+01                 -0.975314E+01                 -0.470417E+01                 -0.460667E+01
                          6238                  0.110970E-05                  0.214272E-06                  0.210378E+03                  0.224001E+01                 -0.595479E+01                 -0.666904E+01                  0.232300E+01                  0.350250E+00                  0.302100E+00                  0.228107E+00                  0.827779E+01                  0.899204E+01                  0.197275E+01                 -0.714241E+00                  0.630504E+01                  0.701929E+01                 -0.363179E+01                 -0.434604E+01                  0.267325E+01                 -0.126238E+02                 -0.560454E+01                 -0.631879E+01
                          6866                  0.950489E-06                  0.164737E-06                  0.162181E+03                  0.383999E+00                 -0.602205E+01                 -0.678321E+01                  0.221000E+01                 -0.415670E+00                  0.267600E+00                  0.582411E-02                  0.823205E+01                  0.899321E+01                  0.262567E+01                 -0.761155E+00                  0.560638E+01                  0.636754E+01                 -0.381205E+01                 -0.457321E+01                  0.179433E+01                 -0.128053E+02                 -0.643772E+01                 -0.719888E+01
                          7734                  0.642414E-06                  0.227942E-06                  0.177011E+03                  0.894005E+00                 -0.619218E+01                 -0.664217E+01                  0.224800E+01                 -0.486600E-01                  0.877800E-01                 -0.699196E-01                  0.844018E+01                  0.889017E+01                  0.229666E+01                 -0.449990E+00                  0.614352E+01                  0.659351E+01                 -0.394418E+01                 -0.439417E+01                  0.219934E+01                 -0.128344E+02                 -0.624084E+01                 -0.669083E+01
                          6573                  0.148594E-05                  0.264406E-06                  0.281838E+03                  0.289001E+00                 -0.582800E+01                 -0.657773E+01                  0.245000E+01                 -0.539100E+00                  0.378400E+00                  0.792735E-01                  0.827800E+01                  0.902773E+01                  0.298910E+01                 -0.749732E+00                  0.528890E+01                  0.603863E+01                 -0.337800E+01                 -0.412773E+01                  0.191090E+01                 -0.124057E+02                 -0.636710E+01                 -0.711683E+01
                          6452                  0.578922E-06                  0.974751E-07                  0.181134E+03                  0.539995E+00                 -0.623738E+01                 -0.701111E+01                  0.225800E+01                 -0.267610E+00                  0.398100E-01                 -0.177989E+00                  0.849538E+01                  0.926911E+01                  0.252561E+01                 -0.773726E+00                  0.596977E+01                  0.674350E+01                 -0.397938E+01                 -0.475311E+01                  0.199039E+01                 -0.132485E+02                 -0.650499E+01                 -0.727872E+01
                          6120                  0.248868E-05                  0.814696E-06                  0.636796E+03                  0.640000E+00                 -0.560403E+01                 -0.608900E+01                  0.280400E+01                 -0.193820E+00                  0.410100E+00                  0.213393E+00                  0.840803E+01                  0.889300E+01                  0.299782E+01                 -0.484974E+00                  0.541021E+01                  0.589518E+01                 -0.280003E+01                 -0.328500E+01                  0.261018E+01                 -0.116930E+02                 -0.579785E+01                 -0.628282E+01
                          1851                  0.525693E-05                  0.183184E-05                  0.803526E+03                  0.115199E+01                 -0.527927E+01                 -0.573711E+01                  0.290500E+01                  0.614500E-01                  0.670300E+00                  0.539435E+00                  0.818427E+01                  0.864211E+01                  0.284355E+01                 -0.457845E+00                  0.534072E+01                  0.579856E+01                 -0.237427E+01                 -0.283211E+01                  0.296645E+01                 -0.110164E+02                 -0.521782E+01                 -0.567566E+01
                          1211                  0.113339E-05                  0.284750E-06                  0.199526E+03                  0.762992E+00                 -0.594562E+01                 -0.654554E+01                  0.230000E+01                 -0.117480E+00                  0.318900E+00                  0.143171E+00                  0.824562E+01                  0.884554E+01                  0.241748E+01                 -0.599915E+00                  0.582814E+01                  0.642806E+01                 -0.364562E+01                 -0.424554E+01                  0.218252E+01                 -0.124912E+02                 -0.606310E+01                 -0.666302E+01
                          6447                  0.753445E-06                  0.106611E-06                  0.175388E+03                  0.102400E+01                 -0.612295E+01                 -0.697220E+01                  0.224400E+01                  0.103000E-01                  0.158100E+00                  0.150954E-01                  0.836695E+01                  0.921620E+01                  0.223370E+01                 -0.849250E+00                  0.613325E+01                  0.698250E+01                 -0.387895E+01                 -0.472820E+01                  0.225430E+01                 -0.130951E+02                 -0.611265E+01                 -0.696190E+01
                          3294                  0.278387E-05                  0.792830E-05                  0.106414E+04                  0.238902E+01                 -0.555535E+01                 -0.510082E+01                  0.302700E+01                  0.378220E+00                  0.313000E+00                  0.243431E+00                  0.858235E+01                  0.812782E+01                  0.264878E+01                  0.454531E+00                  0.593357E+01                  0.547904E+01                 -0.252835E+01                 -0.207382E+01                  0.340522E+01                 -0.106562E+02                 -0.517713E+01                 -0.472260E+01
                          5491                  0.101095E-05                  0.947713E-07                  0.127057E+03                  0.143999E+00                 -0.599527E+01                 -0.702332E+01                  0.210400E+01                 -0.841640E+00                  0.314100E+00                 -0.726485E-01                  0.809927E+01                  0.912732E+01                  0.294564E+01                 -0.102805E+01                  0.515363E+01                  0.618168E+01                 -0.389127E+01                 -0.491932E+01                  0.126236E+01                 -0.130186E+02                 -0.683691E+01                 -0.786496E+01
                          2357                  0.138187E-05                  0.479511E-06                  0.239332E+03                  0.424004E+00                 -0.585953E+01                 -0.631920E+01                  0.237900E+01                 -0.372630E+00                  0.376800E+00                  0.127968E+00                  0.823853E+01                  0.869820E+01                  0.275163E+01                 -0.459670E+00                  0.548690E+01                  0.594657E+01                 -0.348053E+01                 -0.394020E+01                  0.200637E+01                 -0.121787E+02                 -0.623216E+01                 -0.669183E+01
                          6153                  0.103178E-05                  0.381420E-06                  0.305492E+03                  0.134400E+01                 -0.598641E+01                 -0.641860E+01                  0.248500E+01                  0.128400E+00                  0.203800E+00                  0.879192E-01                  0.847141E+01                  0.890360E+01                  0.235660E+01                 -0.432185E+00                  0.611481E+01                  0.654700E+01                 -0.350141E+01                 -0.393360E+01                  0.261340E+01                 -0.124050E+02                 -0.585801E+01                 -0.629020E+01
                          7440                  0.501968E-05                  0.841627E-06                  0.512861E+03                  0.575997E+00                 -0.529932E+01                 -0.607488E+01                  0.271000E+01                 -0.239580E+00                  0.772000E+00                  0.562296E+00                  0.800932E+01                  0.878488E+01                  0.294958E+01                 -0.775556E+00                  0.505974E+01                  0.583530E+01                 -0.258932E+01                 -0.336488E+01                  0.247042E+01                 -0.113742E+02                 -0.553890E+01                 -0.631446E+01
                          3868                  0.123157E-05                  0.209835E-06                  0.367282E+03                  0.128000E+00                 -0.590954E+01                 -0.667812E+01                  0.256500E+01                 -0.892790E+00                  0.243000E+00                 -0.157311E+00                  0.847454E+01                  0.924312E+01                  0.345779E+01                 -0.768581E+00                  0.501675E+01                  0.578533E+01                 -0.334454E+01                 -0.411312E+01                  0.167221E+01                 -0.125877E+02                 -0.680233E+01                 -0.757091E+01
                          5439                  0.113872E-04                  0.390824E-05                  0.522396E+03                  0.454402E+01                 -0.494358E+01                 -0.540802E+01                  0.271800E+01                  0.657440E+00                  0.112300E+01                  0.108775E+01                  0.766158E+01                  0.812602E+01                  0.206056E+01                 -0.464437E+00                  0.560102E+01                  0.606546E+01                 -0.222558E+01                 -0.269002E+01                  0.337544E+01                 -0.103516E+02                 -0.428614E+01                 -0.475058E+01
                           218                  0.722263E-06                  0.734997E-06                  0.401791E+03                  0.117301E+01                 -0.614130E+01                 -0.613371E+01                  0.260400E+01                  0.693000E-01                 -0.966000E-02                 -0.138714E+00                  0.874530E+01                  0.873771E+01                  0.253470E+01                  0.758986E-02                  0.621060E+01                  0.620301E+01                 -0.353730E+01                 -0.352971E+01                  0.267330E+01                 -0.122750E+02                 -0.607200E+01                 -0.606441E+01
                          2846                  0.113359E-05                  0.179171E-06                  0.293089E+03                  0.640000E-01                 -0.594554E+01                 -0.674673E+01                  0.246700E+01                 -0.119382E+01                  0.253100E+00                 -0.215702E+00                  0.841254E+01                  0.921373E+01                  0.366082E+01                 -0.801189E+00                  0.475172E+01                  0.555291E+01                 -0.347854E+01                 -0.427973E+01                  0.127318E+01                 -0.126923E+02                 -0.713936E+01                 -0.794055E+01
                          6679                  0.844454E-05                  0.391903E-05                  0.648634E+03                  0.140799E+01                 -0.507342E+01                 -0.540682E+01                  0.281200E+01                  0.148600E+00                  0.935700E+00                  0.824132E+00                  0.788542E+01                  0.821882E+01                  0.266340E+01                 -0.333397E+00                  0.522202E+01                  0.555542E+01                 -0.226142E+01                 -0.259482E+01                  0.296060E+01                 -0.104802E+02                 -0.492482E+01                 -0.525822E+01
                          6638                  0.292087E-05                  0.635071E-05                  0.102802E+04                  0.307199E+01                 -0.553449E+01                 -0.519718E+01                  0.301200E+01                  0.487420E+00                  0.344000E+00                  0.289917E+00                  0.854649E+01                  0.820918E+01                  0.252458E+01                  0.337310E+00                  0.602191E+01                  0.568460E+01                 -0.252249E+01                 -0.218518E+01                  0.349942E+01                 -0.107317E+02                 -0.504707E+01                 -0.470976E+01
                          4955                  0.390968E-05                  0.812204E-06                  0.345144E+03                  0.464002E+00                 -0.540786E+01                 -0.609033E+01                  0.253800E+01                 -0.333480E+00                  0.758700E+00                  0.521546E+00                  0.794586E+01                  0.862833E+01                  0.287148E+01                 -0.682476E+00                  0.507438E+01                  0.575685E+01                 -0.286986E+01                 -0.355233E+01                  0.220452E+01                 -0.114982E+02                 -0.574134E+01                 -0.642381E+01
